date	externalid	number	constant	digits	decimals
2011-06-16	735999999000083949	3806259346	1.000	6	0
2008-09-11	735999999000155103	3806262026	1.000	6	0
2008-09-11	735999999000155127	3806262115	1.000	6	0
2008-02-06	735999999000158203	3806013000	1.000	6	0
2008-02-06	735999999000158227	3806012906	1.000	6	0
2008-09-12	735999999000155196	3806262153	1.000	6	0
2008-09-11	735999999000155219	3806262272	1.000	6	0
2008-09-11	735999999000155264	3806262309	1.000	6	0
2008-09-11	735999999000155288	3806262017	1.000	6	0
2008-02-05	735999999000158272	3806013010	1.000	6	0
2008-02-05	735999999000158296	3806013237	1.000	6	0
2008-09-16	735999999000159262	3806259414	1.000	6	0
2008-09-17	735999999000159408	3806260089	1.000	6	0
2006-09-22	735999999000083956	85792484	1.000	6	0
2006-10-06	735999999000083987	86016120	1.000	6	0
2008-02-28	735999999000158364	89761401	1.000	6	0
2008-02-04	735999999000158388	3806013369	1.000	6	0
2006-09-28	735999999000084144	86822029	1.000	6	0
2009-02-01	735999999000084298	88312520	1.000	6	0
2008-09-16	735999999000159415	3806259825	1.000	6	0
2010-02-11	735999999000159422	3806254765	1.000	6	0
2008-09-16	735999999000158524	3806259912	1.000	6	0
2008-09-15	735999999000158548	3806260480	1.000	6	0
2008-09-11	735999999000155301	3806262012	1.000	6	0
2008-09-11	735999999000155356	3806262002	1.000	6	0
2006-10-03	735999999000084458	86880562	1.000	6	0
2006-10-03	735999999000084489	86880566	1.000	6	0
2006-10-03	735999999000084632	86880553	1.000	6	0
2010-09-27	735999999000084786	3806255408	1.000	6	0
2009-03-20	735999999000084809	3806251194	1.000	6	0
2006-10-03	735999999000084953	86880502	1.000	6	0
2008-09-11	735999999000155370	3806262383	1.000	6	0
2008-09-10	735999999000155448	3806262302	1.000	6	0
2008-09-16	735999999000159439	3806259483	1.000	6	0
2008-09-15	735999999000159576	3806262353	1.000	6	0
2008-09-16	735999999000158616	3806259863	1.000	6	0
2008-09-15	735999999000158630	3806259294	1.000	6	0
2006-10-03	735999999000084960	86880501	1.000	6	0
2006-10-04	735999999000084977	86880612	1.000	6	0
2008-09-10	735999999000155462	3806262143	1.000	6	0
2008-09-10	735999999000155516	3806262228	1.000	6	0
2006-10-04	735999999000084984	86016442	1.000	6	0
2006-10-04	735999999000085110	86016411	1.000	6	0
2006-10-04	735999999000085141	86016410	1.000	6	0
2006-09-28	735999999000085295	86822040	1.000	6	0
2011-11-24	735999999000085486	88322508	1.000	6	0
2006-09-28	735999999000085646	86880603	1.000	6	0
2008-09-15	735999999000159583	3806260066	1.000	6	0
2008-09-15	735999999000159590	3806260039	1.000	6	0
2006-09-28	735999999000085783	86880613	1.000	6	0
2006-09-28	735999999000085813	86822026	1.000	6	0
2008-09-11	735999999000155530	3806262129	1.000	6	0
2008-09-11	735999999000155554	3806262098	1.000	6	0
2008-09-16	735999999000158708	3806260185	1.000	6	0
2008-09-16	735999999000158722	3806255094	1.000	6	0
2008-09-15	735999999000159606	3806260081	1.000	6	0
2013-11-29	735999999000159736	1301463118	1.000	6	0
2006-11-22	735999999000085981	88208773	1.000	6	0
2006-09-29	735999999000086131	86880616	1.000	6	0
2006-10-06	735999999000086285	86016116	1.000	6	0
2006-09-29	735999999000086315	86880547	1.000	6	0
2006-09-28	735999999000086483	86880607	1.000	6	0
2006-10-03	735999999000086629	86880512	1.000	6	0
2006-10-05	735999999000086780	86016402	1.000	6	0
2006-10-05	735999999000086797	86016453	1.000	6	0
2008-09-10	735999999000155608	3806262364	1.000	6	0
2008-09-10	735999999000155622	3806262015	1.000	6	0
2008-09-15	735999999000159743	3806259967	1.000	6	0
2008-09-15	735999999000159750	3806259980	1.000	6	0
2006-10-05	735999999000086803	86016454	1.000	6	0
2006-10-05	735999999000086810	86016452	1.000	6	0
2008-09-16	735999999000158777	3806255292	1.000	6	0
2008-09-16	735999999000158791	3806262083	1.000	6	0
2006-10-05	735999999000086827	86016395	1.000	6	0
2006-10-04	735999999000086957	86016333	1.000	6	0
2008-09-11	735999999000155691	3806262088	1.000	6	0
2008-09-11	735999999000155714	3806262139	1.000	6	0
2006-10-04	735999999000086964	86016384	1.000	6	0
2006-10-04	735999999000086971	86016396	1.000	6	0
2006-10-04	735999999000086988	86016387	1.000	6	0
2006-11-22	735999999000087145	88322152	1.000	6	0
2008-09-15	735999999000159767	3806260117	1.000	6	0
2008-09-15	735999999000159774	3806255618	1.000	6	0
2008-09-16	735999999000158814	3806259872	1.000	6	0
2008-09-16	735999999000158869	3806260239	1.000	6	0
2006-10-05	735999999000087152	86016456	1.000	6	0
2012-10-30	735999999000087299	86016507	1.000	6	0
2008-09-15	735999999000159903	3806260104	1.000	6	0
2008-09-15	735999999000159910	3806255920	1.000	6	0
2008-09-11	735999999000155783	3806262336	1.000	6	0
2008-09-11	735999999000155806	3806262245	1.000	6	0
2006-06-09	735999999000087305	85792624	1.000	6	0
2006-10-04	735999999000087459	86016400	1.000	6	0
2008-09-16	735999999000158883	3806260011	1.000	6	0
2008-09-16	735999999000158951	3806259408	1.000	6	0
2008-09-15	735999999000159927	3806255025	1.000	6	0
2008-09-15	735999999000159934	3806255250	1.000	6	0
2006-10-04	735999999000087480	86880498	1.000	6	0
2009-02-01	735999999000087626	88312572	1.000	6	0
2008-09-15	735999999000160077	3806262046	1.000	6	0
2008-09-15	735999999000160084	3806262255	1.000	6	0
2006-10-12	735999999000087794	86015994	1.000	6	0
2006-11-08	735999999000087954	86020561	1.000	6	0
2008-09-15	735999999000160091	3806262042	1.000	6	0
2008-09-17	735999999000160107	3806262090	1.000	6	0
2006-11-07	735999999000087985	86024692	1.000	6	0
2006-11-06	735999999000088135	86024314	1.000	6	0
2008-09-17	735999999000160244	3806262297	1.000	6	0
2008-09-17	735999999000160251	3806262296	1.000	6	0
2008-09-16	735999999000158975	3806260248	1.000	6	0
2008-09-16	735999999000159026	3806260129	1.000	6	0
2008-09-11	735999999000155851	3806262208	1.000	6	0
2013-09-12	735999999000155875	1100299991	1.000	6	0
2008-09-16	735999999000159040	3806259878	1.000	6	0
2008-09-16	735999999000159064	3806259712	1.000	6	0
2008-09-17	735999999000160268	3806259813	1.000	6	0
2008-09-17	735999999000160275	3806259785	1.000	6	0
2008-09-16	735999999000159132	3806260009	1.000	6	0
2008-09-16	735999999000159200	3806260555	1.000	6	0
2006-11-08	735999999000088296	86020576	1.000	6	0
2006-11-06	735999999000088463	86020557	1.000	6	0
2008-09-17	735999999000155943	3806260563	1.000	6	0
2008-09-17	735999999000155967	3806260448	1.000	6	0
2008-09-17	735999999000160404	3806259856	1.000	6	0
2008-09-17	735999999000160411	3806260488	1.000	6	0
2008-09-16	735999999000159224	3806259324	1.000	6	0
2008-09-16	735999999000159279	3806260596	1.000	6	0
2006-10-05	735999999000088623	86016414	1.000	6	0
2008-03-25	735999999000088654	89760166	1.000	6	0
2008-09-17	735999999000160428	3806260338	1.000	6	0
2008-09-17	735999999000160435	3806259430	1.000	6	0
2008-09-17	735999999000156032	3806260634	1.000	6	0
2008-09-17	735999999000156056	3806260627	1.000	6	0
2009-03-02	735999999000159293	3806251808	1.000	6	0
2008-09-16	735999999000159361	3806259783	1.000	6	0
2008-09-17	735999999000156100	3806259334	1.000	6	0
2008-09-16	735999999000156124	3806259801	1.000	6	0
2008-09-16	735999999000159385	3806259922	1.000	6	0
2013-02-22	735999999000159453	90384187	1.000	6	0
2009-06-30	735999999000160572	3806251159	1.000	6	0
2008-09-17	735999999000160589	3806260507	1.000	6	0
2008-02-19	735999999000088791	3806014593	1.000	6	0
2008-04-18	735999999000088814	89760876	1.000	6	0
2008-09-16	735999999000159477	3806259517	1.000	6	0
2008-09-15	735999999000159545	3806259598	1.000	6	0
2008-09-17	735999999000156193	3806259917	1.000	6	0
2008-09-17	735999999000156216	3806260085	1.000	6	0
2008-09-17	735999999000160596	90384168	1.000	6	0
2008-09-17	735999999000160602	3806260459	1.000	6	0
2008-09-15	735999999000159569	3806259484	1.000	6	0
2008-09-15	735999999000159613	3806260062	1.000	6	0
2008-02-19	735999999000088821	3806014518	1.000	6	0
2008-03-01	735999999000088968	87465789	1.000	6	2
2008-03-01	735999999000088968	TM207003	1.000	9	0
2006-10-03	735999999000088999	85792489	1.000	6	0
2006-10-02	735999999000089149	86821955	1.000	6	0
2009-02-01	735999999000089293	88312522	1.000	6	0
2008-09-17	735999999000156285	3806259780	1.000	6	0
2008-09-18	735999999000156308	3806260149	1.000	6	0
2008-03-05	735999999000160749	89760467	1.000	6	0
2008-03-05	735999999000160756	89760468	1.000	6	0
2008-09-15	735999999000159637	3806260071	1.000	6	0
2008-09-15	735999999000159729	3806260200	1.000	6	0
2006-10-02	735999999000089323	86822043	1.000	6	0
2006-10-03	735999999000089477	86880555	1.000	6	0
2008-09-15	735999999000156353	3806262330	1.000	6	0
2008-09-15	735999999000156377	3806262200	1.000	6	0
2006-10-03	735999999000089651	86880517	1.000	6	0
2006-10-03	735999999000089804	86880505	1.000	6	0
2008-09-15	735999999000159798	3806260044	1.000	6	0
2008-09-15	735999999000159811	3806260116	1.000	6	0
2008-03-04	735999999000160763	89760224	1.000	6	0
2008-03-07	735999999000160770	89760181	1.000	6	0
2008-09-15	735999999000156445	3806262067	1.000	6	0
2008-09-15	735999999000156469	3806254841	1.000	6	0
2006-11-22	735999999000089996	88322507	1.000	6	0
2006-10-02	735999999000090152	86880508	1.000	6	0
2006-10-02	735999999000090305	86880569	1.000	6	0
2006-10-02	735999999000090336	86880570	1.000	6	0
2006-10-04	735999999000090480	86016394	1.000	6	0
2006-10-09	735999999000090633	86016140	1.000	6	0
2006-10-03	735999999000090640	86880552	1.000	6	0
2006-10-02	735999999000090800	86880572	1.000	6	0
2008-09-16	735999999000156537	3806262260	1.000	6	0
2008-09-18	735999999000156551	3806260625	1.000	6	0
2008-03-07	735999999000160909	89760180	1.000	6	0
2008-03-03	735999999000160916	89760414	1.000	6	0
2008-09-15	735999999000159866	3806259925	1.000	6	0
2008-09-15	735999999000159880	3806260207	1.000	6	0
2007-02-13	735999999000090831	86372249	1.000	6	0
2006-10-06	735999999000090985	86016286	1.000	6	0
2008-09-16	735999999000156605	3806262160	1.000	6	0
2008-09-16	735999999000156629	3806262157	1.000	6	0
2008-03-03	735999999000160923	89760408	1.000	6	0
2008-03-03	735999999000160930	89760465	1.000	6	0
2008-09-08	735999999000156698	3806260034	1.000	6	0
2008-09-08	735999999000156711	3806259471	1.000	6	0
2008-03-03	735999999000160947	89760409	1.000	6	0
2008-03-03	735999999000161074	89760346	1.000	6	0
2008-03-03	735999999000161081	89760345	1.000	6	0
2008-03-07	735999999000161098	89760179	1.000	6	0
2008-09-08	735999999000156780	3806259945	1.000	6	0
2008-09-08	735999999000156803	3806259691	1.000	6	0
2006-10-02	735999999000091142	86880530	1.000	6	0
2006-09-29	735999999000091326	86016478	1.000	6	0
2008-09-15	735999999000159958	3806255052	1.000	6	0
2008-09-15	735999999000159972	3806255616	1.000	6	0
2008-03-03	735999999000161104	89760347	1.000	6	0
2008-03-04	735999999000161241	89760219	1.000	6	0
2006-09-29	735999999000091470	86880535	1.000	6	0
2006-09-29	735999999000091500	86880536	1.000	6	0
2008-09-08	735999999000156858	3806260689	1.000	6	0
2008-09-08	735999999000156872	3806260649	1.000	6	0
2008-09-09	735999999000156940	3806262118	1.000	6	0
2008-09-09	735999999000156964	3806259306	1.000	6	0
2006-10-10	735999999000091654	86016354	1.000	6	0
2006-09-29	735999999000091807	86880610	1.000	6	0
2008-09-09	735999999000157039	3806260640	1.000	6	0
2008-09-09	735999999000157053	3806260578	1.000	6	0
2006-10-02	735999999000091838	86880526	1.000	6	0
2006-09-29	735999999000091982	86880582	1.000	6	0
2008-09-15	735999999000160046	3806262031	1.000	6	0
2008-09-15	735999999000160060	3806255028	1.000	6	0
2006-10-02	735999999000092156	86880573	1.000	6	0
2006-10-04	735999999000092309	86880499	1.000	6	0
2008-09-09	735999999000157107	3806262289	1.000	6	0
2008-09-09	735999999000157121	3806262171	1.000	6	0
2013-07-30	735999999000161258	3806255488	1.000	6	0
2008-03-04	735999999000161265	89760384	1.000	6	0
2006-10-02	735999999000092330	86822053	1.000	6	0
2006-10-09	735999999000092477	86016127	1.000	6	0
2006-10-09	735999999000092507	86016129	1.000	6	0
2006-10-09	735999999000092651	86016163	1.000	6	0
2008-09-09	735999999000157190	3806259908	1.000	6	0
2008-09-09	735999999000157213	3806260883	1.000	6	0
2008-03-10	735999999000161272	89760144	1.000	6	0
2008-02-25	735999999000161418	89761242	1.000	6	0
2006-10-06	735999999000092804	86016115	1.000	6	0
2006-10-06	735999999000092835	86016118	1.000	6	0
2008-02-25	735999999000161425	89761533	1.000	6	0
2008-02-25	735999999000161432	89761246	1.000	6	0
